title,subtitle,author,publisher,pub_date,discount_rate,sale_price,original_price,sales_index,review_count,rating,tags
이게 되네? 나노바나나 AI 비포&애프터 미친 활용법 71제,"포토샵 없이 제미나이로 5초 컷! 씨드림, 미드저니, 소라, 위스크까지 나만의 AI 사진관 한 권으로 끝내기",쌩초저,골든래빗,2025년 12월,10,16920,18800,16659,85,10.0,"#크레마클럽에있어요, #분철"
제로클릭,"클릭의 종말, AI 시대의 생존 전략",손승완저,길벗,2026년 01월,10,16920,18800,8712,43,9.8,"#AI시대가온다, #마케팅이란, #마케팅전략, #마케터는보라"
이게 되네? AI 쇼츠 만들기 미친 자동화 22제,"인공지능으로 쇼츠와 릴스를 자동 제작한다! 콘텐츠 수집부터 스크립트 작성, 영상 제작, 유튜브와 인스타그램 자동 업로드까지 코딩 모르는 초보자도 숏폼으로 수익 창출하는 법",천은영저,골든래빗,2026년 01월,10,23400,26000,8316,4,10.0,
AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,한 권으로 끝내는 AI 터미널 도구 3대장 바이브 코딩,Dave Lee저,길벗,2026년 02월,10,28800,32000,5523,9,9.8,
MK에디션 CES 2026,피지컬 AI의 시대,매일경제 CES 특별취재팀저,매일경제신문사,2026년 01월,10,18000,20000,7092,0,0.0,
AI가 쉬워지는 최소한의 수학,인공지능 문해력을 키우는 수학적 사고법의 힘,이동준저,지상의책(갈매나무),2026년 02월,10,18000,20000,3966,17,10.0,"#이달의굿즈, #이집수학잘하네, #수학의이해, #수학으로읽는세상"
AI 프로젝트 100% 성공을 위한 체크리스트 17,"비즈니스 성장을 위한 AI 프로덕트의 기획부터 설계, 성능 평가까지 단계별 전략",유진호저,책만,2026년 01월,10,25200,28000,6432,8,10.0,
요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기,"인공지능 코딩, 랜딩 페이지, 바탕화면 정리 앱, PDF 편집기, 이메일 자동화, 주식 크롤링, QR 코드 생성기, GPT 블로그 생성기",박현규저,골든래빗,2025년 09월,10,21600,24000,15900,84,9.9,"#크레마클럽에있어요, #코딩, #코딩교육, #바이브코딩, #AI"
Do it! LLM을 활용한 AI 에이전트 개발 입문,GPT API+딥시크+라마+랭체인+랭그래프+RAG,이성용저,이지스퍼블리싱,2025년 05월,10,31500,35000,19296,21,9.7,"#크레마클럽에있어요, #분철, #파이썬, #챗GPT, #LLM"
요즘 바이브 코딩 코덱스 완벽 가이드,"인공지능 코딩, AI 에이전트, 프롬프트 엔지니어링, 컨텍스트 엔지니어링, AGENTS.md, PRD, 코덱스 클라우드, 수파베이스, Spec Kit 워크플로, 토큰 최적화, 배포, v0, 스킬, 고급 사용법, 오픈라우터",윤재원저,골든래빗,2026년 02월,10,25200,28000,3123,37,10.0,
대체불가 AI 영상 제작 완전정복,챗GPT로 기획하고 제너레이티드 포토스·아트브리더·구글 베오·나노 바나나(Flash 2.5)·미드저니·프리픽·시드림·수노 AI·일레븐랩스·클링AI·런웨이·피카·소라2·컴피UI·캡컷 AI로 완성하기,이용태저,책바세,2025년 12월,10,26100,29000,9411,12,9.8,
된다! 피그마 디자인 10분 레시피,SNS 콘텐츠 + UX/UI + 웹 디자인 + AI 활용,"하이서,김대일,김시원,최유빈저",이지스퍼블리싱,2026년 02월,10,25200,28000,2736,3,10.0,
"우리, 프로그래머들 We, Programmers",AI 시대에 잊혀 가는 ‘프로그래머 정신’을 다시 깨우다,로버트 C. 마틴저/최희철역,길벗,2026년 01월,10,27900,31000,3702,11,10.0,
